artista,pais_de_origen,area_de_origen,fecha_nacimiento,fecha_inicio_actividad,fecha_fin_actividad
Ryan Stevenson,United States,Bonanza,1979-01-21,NULL,Actualidad
Trentemøller,Denmark,Vordingborg,1972-10-16,NULL,Actualidad
Sergio Contreras,Spain,NULL,NULL,NULL,Actualidad
Bring Me the Horizon,United Kingdom,Sheffield,NULL,2004-03,Actualidad
Talking Heads,United States,New York,NULL,1974,1991
Natalia Lafourcade,Mexico,Coatepec,1984-02-26,NULL,Actualidad
Score,NULL,NULL,NULL,NULL,Actualidad
Aldo Cadiz,NULL,NULL,NULL,NULL,Actualidad
Feid,Colombia,Medellín,1992-08-19,NULL,Actualidad
Newsboys,Australia,Mooloolaba,NULL,1985,Actualidad
Calero LDN,NULL,Bilbao,NULL,NULL,Actualidad
Amenazzy,Dominican Republic,Santiago de los Caballeros,1995-08-04,NULL,Actualidad
George R. R. Martin,United States,Bayonne,1948-09-20,NULL,Actualidad
Official髭男dism,Japan,Shimane,NULL,2012-06-07,Actualidad
[unknown],[Worldwide],NULL,NULL,NULL,Actualidad
Clara Cava,Argentina,Buenos Aires,NULL,NULL,Actualidad
Goth Babe,NULL,NULL,NULL,NULL,Actualidad
Green Day,United States,Berkeley,NULL,1989,Actualidad
Ak4:20,Talca,Talca,2001-12-19,NULL,Actualidad
Vicente Fernández,Mexico,Guadalajara,1940-02-17,NULL,2021-12-12
India Martínez,Spain,Córdoba,1985-10-13,NULL,Actualidad
if i die in mississippi,Gulfport,NULL,NULL,NULL,Actualidad
Lady Gaga,United States,Upper East Side,1986-03-28,NULL,Actualidad
Bejo,Spain,Santa Cruz de Tenerife,1994-03-14,NULL,Actualidad
Petula Clark,United Kingdom,Epsom,1932-11-15,NULL,Actualidad
Warmth,Spain,Valencia,NULL,NULL,Actualidad
Luna Li,Canada,Toronto,1996-10-03,NULL,Actualidad
Carlos Baute,Venezuela,Caracas,1974-03-08,NULL,Actualidad
Synlakross,NULL,NULL,NULL,NULL,Actualidad
Karen Rose,United States,NULL,NULL,NULL,Actualidad
Sam Fender,United Kingdom,North Shields,1994-04-25,NULL,Actualidad
Jedi,United Kingdom,NULL,NULL,NULL,Actualidad
Antonio Orozco,Spain,Osuna,1972-11-23,NULL,Actualidad
DJ Koze,Germany,Flensburg,1972,NULL,Actualidad
Poet Society,United States,NULL,NULL,NULL,Actualidad
Midrift,NULL,NULL,NULL,NULL,Actualidad
Los Ángeles Negros,Chile,NULL,NULL,1968,Actualidad
La Maravillosa Orquesta del Alcohol,Burgos,NULL,NULL,2011-02-15,Actualidad
Generación 12,Colombia,Bogotá,NULL,2007,Actualidad
Danny Gokey,United States,Milwaukee,1980-04-24,NULL,Actualidad
[Disney],United States,Kansas City,NULL,NULL,Actualidad
The Rolling Stones,United Kingdom,London,NULL,1962,Actualidad
Of Monsters and Men,Iceland,Keflavík,NULL,2010,Actualidad
Estopa,Spain,Barcelona,NULL,1999,Actualidad
Courtney Barnett,Australia,Sydney,1987-11-03,NULL,Actualidad
Yamila,Belgium,Granada,1983,NULL,Actualidad
Maná,Mexico,Guadalajara,NULL,1986,Actualidad
Guerra,Spain,NULL,NULL,NULL,Actualidad
DVICIO,Madrid,NULL,NULL,2013,Actualidad
The Struts,United Kingdom,Derby,NULL,2010,Actualidad
Vacation,United States,Cincinnati,NULL,2009,Actualidad
Bob Dylan,United States,Duluth,1941-05-24,NULL,Actualidad
Stephen King,United States,Portland,1947-09-21,NULL,Actualidad
Lauren Daigle,United States,Lafayette,1991-09-09,NULL,Actualidad
Sam Hunt,United States,Cedartown,1984-12-08,NULL,Actualidad
Cecilia Krull,Spain,Madrid,1986-06-29,NULL,Actualidad
Rigoberta Bandini,Spain,Barcelona,1990-04-30,NULL,Actualidad
Janine Jansen,Netherlands,Soest,1978-01-07,NULL,Actualidad
Tool,United States,Los Angeles,NULL,1990,Actualidad
La Pegatina,Spain,Montcada i Reixac,NULL,2003,Actualidad
Daphni,Canada,NULL,1978,NULL,Actualidad
Scotty McCreery,United States,NULL,1993-10-09,NULL,Actualidad
Edu Imbernón,Spain,NULL,NULL,NULL,Actualidad
Zaidbreak,NULL,NULL,NULL,NULL,Actualidad
The Goo Goo Dolls,United States,Buffalo,NULL,1986,Actualidad
Foo Fighters,United States,Seattle,NULL,1994,Actualidad
Baden Powell,Brazil,Rio de Janeiro,1937-08-06,NULL,2000-09-26
Arde Bogotá,Spain,Cartagena,NULL,NULL,Actualidad
Brantley Gilbert,United States,Jefferson,1985-01-20,NULL,Actualidad
Bee Gees,United Kingdom,Redcliffe,NULL,1958,2003
Eli Young Band,United States,NULL,NULL,2000,Actualidad
Ca7riel,Argentina,Buenos Aires,1993-12-05,NULL,Actualidad
Jhayco,Puerto Rico,Las Piedras,1993-04-09,NULL,Actualidad
Journey,United States,San Francisco,NULL,1973,Actualidad
Miguel Bastida,NULL,NULL,NULL,NULL,Actualidad
Three Days Grace,Canada,Norwood,NULL,1997,Actualidad
HoneyWorks,Japan,NULL,NULL,2009,Actualidad
Dark Moor,Spain,NULL,NULL,1993,Actualidad
Safri Duo,Denmark,Copenhagen,NULL,1988,Actualidad
Catalyna,NULL,NULL,NULL,NULL,Actualidad
Santana,United States,San Francisco,NULL,1966,Actualidad
La Rose,NULL,NULL,NULL,NULL,Actualidad
David Otero,Spain,NULL,NULL,NULL,Actualidad
The Pineapple Thief,United Kingdom,Somerset,NULL,1999,Actualidad
Drive‐By Truckers,United States,Athens,NULL,1996,Actualidad
Christian Löffler,Germany,Greifswald,1985-04-05,NULL,Actualidad
Avi Jossef,NULL,NULL,NULL,NULL,Actualidad
Stick Figure,United States,Duxbury,NULL,2006,Actualidad
Saratoga,Spain,NULL,NULL,1992,Actualidad
Sneaker Pimps,United Kingdom,Hartlepool,NULL,1994,Actualidad
Glass Animals,United Kingdom,Oxford,NULL,2010-01-01,Actualidad
Empire of the Sun,Australia,Sydney,NULL,2006,Actualidad
神聖かまってちゃん,Japan,Chiba,NULL,2007,Actualidad
Joaquín Turina,Spain,Sevilla,1882-12-09,NULL,1949-01-14
Mihali,Vermont,NULL,NULL,NULL,Actualidad
The DJ Producer,Bath,NULL,NULL,NULL,Actualidad
Tosca,Austria,Wien,NULL,1994,Actualidad
Reik,Mexico,Mexicali,NULL,2003,Actualidad
Mujeres,Spain,Barcelona,NULL,2007,Actualidad
Lightnin’ Hopkins,United States,Centerville,1912-03-15,NULL,1982-01-30
Eve,United States,Philadelphia,1978-11-10,NULL,Actualidad
The Unlikely Candidates,United States,Keller,NULL,2008,Actualidad
James Brown,United States,Barnwell,1933-05-03,NULL,2006-12-25
Rise Against,United States,Chicago,NULL,1999,Actualidad
Spoon,United States,Austin,NULL,1994,Actualidad
Niño de Elche,Elche,Elche,1985-01-21,NULL,Actualidad
The Elovaters,Boston,Boston,NULL,2018,Actualidad
El Alfa,Dominican Republic,Santo Domingo,1990-12-18,NULL,Actualidad
Los Fabulosos Cadillacs,Argentina,Buenos Aires,NULL,1985-01-19,Actualidad
Soria,France,NULL,NULL,NULL,Actualidad
Christina Aguilera,United States,Staten Island,1980-12-18,NULL,Actualidad
Lake Street Dive,United States,Boston,NULL,2004,Actualidad
St Germain,France,Saint-Germain-en-Laye,1973,NULL,Actualidad
Santana,United States,San Francisco,NULL,1966,Actualidad
Ghost Club,New Zealand,NULL,NULL,1996,Actualidad
